"gene_id"	"AM-WT_R1"	"AM-WT_R2"	"AM-WT_R3"	"CD206neg-IM-CRE_R1"	"CD206neg-IM-CRE_R2"	"CD206neg-IM-CRE_R3"	"CD206neg-IM-WT_R1"	"CD206neg-IM-WT_R2"	"CD206neg-IM-WT_R3"	"CD206pos-IM-CRE_R1"	"CD206pos-IM-CRE_R2"	"CD206pos-IM-CRE_R3"	"CD206pos-IM-WT_R1"	"CD206pos-IM-WT_R2"	"CD206pos-IM-WT_R3"	"Ly6Cpos-Mo-WT_R1"	"Ly6Cpos-Mo-WT_R2"	"Ly6Cpos-Mo-WT_R3"
"ENSMUSG00000003070"	49	26	39	27	36	74	29	20	39	33	66	32	41	36	44	5	5	6
"ENSMUSG00000003072"	2887	2932	4053	1543	1924.001	2848.001	1921	1691	2129	2052	2388	2442.001	2253	1528	1955	2944.999	2401	4187
"ENSMUSG00000003099"	1246.001	1328.001	1266.001	959	1310	1370	1101.001	1216.999	1224.001	1052	1512	1216.999	1163	1161.001	1177	810	710.999	726
"ENSMUSG00000003119"	1215	1544	1366.001	1152.999	1242	934.001	1409	1305.001	1622.999	1035.999	1297	884.001	1317	1313	1506	1502.001	1159	1007
"ENSMUSG00000003123"	165	203	212	667	919.001	996	773	861	720	873.999	1075	726	810.001	784	814	1314	1279	1197
"ENSMUSG00000003131"	1938	2153	1977	707	698.999	834.001	767.001	799.999	675	735	891.001	631	802	947.999	931	1176	907.001	998
"ENSMUSG00000003134"	117	66	97	1426	1621.999	1725	1306.001	1521	1510	1423.999	1761	1309	1416.001	1262	1652	2797.999	2882	2494.001
"ENSMUSG00000003135"	479	626	486	313	377	309	261	299	266	292	371	227	237	225	291	303	262	253
"ENSMUSG00000003153"	48	30	19	337	292.999	291	323	288.001	219	327	365	244.999	272.001	275	259.999	149	105	121
"ENSMUSG00000003154"	1173	1485	1156	971	1066	971	972	1317	1263	917	1171	787	1090	1177	1072	831	705	559
"ENSMUSG00000003161"	2943	3143	3368	1555	1547	1839	1519	1568.001	1459.999	1633.001	2012	1674.001	1603	1655.999	1798	2399	1962.999	2508.001
"ENSMUSG00000003166"	1248.038	1349.699	1370.152	1110.605	1447.889	1523.46	1158.873	1529.264	1270.617	1211.702	1684.105	1241.839	1433.457	1545.458	1542.1	1318.132	1085.956	1258.021
"ENSMUSG00000003184"	1062.999	1211.002	1149	802	954	1201	912	1081	894	857	1013.999	825.001	871	781.999	865.001	752	693	567.999
"ENSMUSG00000003190"	177.002	208	213	188	176	183	116	136.001	83	117	148	151	155	206	99	107	107.999	103
"ENSMUSG00000003198"	73	66	72	71	89	100	88	61	36	42	95	64	46	88.046	78.001	148.001	91.323	108
"ENSMUSG00000003199"	813	811	779.002	520	494	919	489	560	558	671	796.001	796	619.001	767	637	932	852	974
"ENSMUSG00000003200"	949.999	988	1097	788	801	1085	795	785	823	937	1264	982	949	963	1087	783.999	686	668
"ENSMUSG00000003206"	70	33	34	824	845	1079	1180	1062	1080	1019	1135	1014	892	998	1051	599	611	606
"ENSMUSG00000003208"	160	137	250	137	207	237.001	254.001	197	165.001	169	214	212	178	203	233	172	100	123
"ENSMUSG00000003226"	4136	4350	4485	3324	3206	2586	3564	3500	3477	3099	3338	2808.001	3375	3467	4216	5749	4054	4559
"ENSMUSG00000003227"	0	0	0	4	0	8	0	0	0	0	0	0	0	0	6	0	0	0
"ENSMUSG00000003228"	1566	1655	1659	434	341	712	389	423	475	392	544	373	454	463	495	3719.001	3117	3045
"ENSMUSG00000003233"	508	586	580	429	621.001	601	479	660	425	397	572.999	437	414	516.999	437	589	515	388
"ENSMUSG00000003234"	889	955	960	429	513.999	555.001	434.999	487.001	429.999	544	577	430	538	462.001	587	631	452	604.999
"ENSMUSG00000003235"	807	831	763	404	440	652	339	410	416	497	586	530	409	515	583	565	489	519
"ENSMUSG00000003269"	1129	1047.001	1314	1171.001	1127	1695.999	1468.001	1390.999	1473	1178	1244	1265.999	1264	905.999	1454.001	1663.999	1207.999	1467.999
"ENSMUSG00000003271"	107	138	197.999	16	7	17	22	11	35	11	3	0	10	43	10	10	7	10
"ENSMUSG00000003273"	33	20	33	25	8	17	40	42	25	46	19	42	35	66	38	2	0	3
"ENSMUSG00000003279"	0	0	0	2	2	11	2	7	0	4	2	2	4	9	11	0	0	0
"ENSMUSG00000003282"	36	52	46	30	64	30	98	175.999	129.999	36	54	19	122	158	132	26	26	14
"ENSMUSG00000003283"	4538.999	4813.001	4633	2868	3157	3697.001	4159	3772	3637	2588	3158	2754	2736	2693	2900	8933	8093.001	7952
"ENSMUSG00000003299"	860	1003	1132.999	549	544.001	746	383	430	445	548.999	615	621	429	512	472.001	1124.001	946	1081
"ENSMUSG00000003308"	755	835	855.999	421	401.999	526	306.999	484	388.999	393	480	395	387	477.001	375	489	462.001	389
"ENSMUSG00000003309"	2	1	26	13	12	45	12	2	27	14	3	6	5	0	2	14	19	20
"ENSMUSG00000003316"	3350.999	4104	3343	4128	4813.999	4067	3584	4535	3785	4745	5866	4159	4313	5048.999	4953	5355.001	4711	4036
"ENSMUSG00000003341"	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000003344"	882	899	1106.001	393.999	488	666	341.999	450.999	393	423.001	580	421	487	368	462	433	354	389
"ENSMUSG00000003345"	2861	2858	3137.001	1374.001	1519	1941.001	1234	1418.001	1490.001	1387	1870	1373	1345.001	1472	1416.001	2383	1772	2308
"ENSMUSG00000003346"	880	1165	1195	523	664	953	577	691	572	808	979	711	607	591	649	943	904	1306
"ENSMUSG00000003348"	2375	2558	2831	1257	1443	1557	1965	2074.001	1741	1483	1797	1334	1542	1671	1628	2447	2401	2215
"ENSMUSG00000003352"	19	16	20	120	63	208	25	24	55	8	25	38	15	8	10	9	4	16
"ENSMUSG00000003354"	1	1	14	0	1	28	0	0	2	0	3	9	0	0	0	0	0	0
"ENSMUSG00000003355"	4	18	16	9	6	16	6	2	4	1	9	0	0	0	9	5	4	4
"ENSMUSG00000003360"	1897	2112	2198	1597.001	1659	2086.001	1710	1759.999	1675	1635	1833	1776	1726	1639.001	1857.999	2082.001	1763	1455.999
"ENSMUSG00000003363"	23662	22988	28102.001	2921	3326	4651	2949	2827.001	3149	4119.999	4727	4349	4287	3707	4454.001	1385	920	1392
"ENSMUSG00000003378"	13	0	27	40	52	176	45	77	67	13	33	39	26	52	21	54	50	36
"ENSMUSG00000003379"	94	63	105	186	191	130	158	206	213	106	153	47	129	86	142	318	191	324
"ENSMUSG00000003380"	2169	1874	2803	1354	1547	2474	2002.001	1869.001	2185	1821	2090.999	2385.001	2353.999	1501	2595	1502	1038	2062.001
"ENSMUSG00000003382"	1671	1424	1707.001	9005	8331	9119	7328.999	7454	7690	10701.001	12803	11249.001	12603	10452	14426.999	2469.001	2338.001	2152
"ENSMUSG00000003402"	2607.001	2367	2853.001	1626	1724	2398.999	1743	1707	1843	1871	2138	1995	1820	1920.999	2089.999	1732.001	1442	1528
"ENSMUSG00000003410"	8	0	0	0	2	1	2	3	3	0	0	0	0	0	4	0	0	2
"ENSMUSG00000003411"	0	4	2	3	5	11	2	0	0	7	3	6	0	0	1	0	0	0
"ENSMUSG00000003418"	25	36	12	1204	1208	866	1111	1197	994	1418	1627	1129	1111	1265	1468	133	110	243
"ENSMUSG00000003420"	7870	8804.001	9812	3148.999	3244	4808	4830.999	4872.001	4630	6584	7820	6832	7856	7775	8057.001	1255	1012	1486
"ENSMUSG00000003421"	590.001	617	688	398	483	604.001	473	482.999	527	583	664	552	612.001	569	506.999	599	536	635
"ENSMUSG00000003423"	575	560.001	712	449.001	496	701.001	481	547	578	606	796	739.001	564	598	574	599	490	729
"ENSMUSG00000003429"	11124.001	11913.999	13644	10238	10309.001	14806	11281.001	10523.999	12194.999	10697	12863	12095	10971.001	9508	11284	17371	13471.001	23335
"ENSMUSG00000003435"	3244	3487	3545	2743	3013	3644.001	3087.001	3081	3322	2854	3482.001	2790	3062	2866	3195	3019	2888.001	2607.001
"ENSMUSG00000003436"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"ENSMUSG00000003437"	1672.999	1385.002	1640	2735	2482	3518	2759.001	2356.999	2659	2760.001	2871.999	2462.001	2486.999	1991	3105.001	2711	1733.999	1993.999
"ENSMUSG00000003438"	622	625	745	280	412	510.001	308	394	352	448	400	521.001	412	447	403	297	309	345
"ENSMUSG00000003444"	391	495	655	402	458	483	492	441	437	524	689	597	682	562	694	412	302	440
"ENSMUSG00000003452"	49	60	49	27	7	23.999	24	11.001	20	22.001	18	18	10	0	6	8	3	5
"ENSMUSG00000003458"	4079	4508.001	4817.999	2836.001	3223	3600	3103	3257.999	3250.999	3103	4067	3212	3509	3715	4017.001	3711.001	3089	3461
"ENSMUSG00000003464"	920	966	1069	664.999	821.999	954	782	785.001	781	905	1035	823	863	835.999	1000	750	701	841
"ENSMUSG00000003469"	0	0	4	0	1	0	2	4	0	0	0	0	1	0	1	0	0	0
"ENSMUSG00000003476"	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0
"ENSMUSG00000003477"	320	365	1381	1266	1051	5160	1061	1118	2474	1111	965	1699	1677	859	1517	311	208	945
"ENSMUSG00000003484"	2381.001	2113	2646	1610	1999	1949	2340	2299	2386	1543	1745	1726	1580	1653	1577	4826	3892	5636
"ENSMUSG00000003500"	862	780	1236	504.999	476.001	1150.999	388	496	699	484	583.999	520.001	589	408.001	525.999	410	317	446
"ENSMUSG00000003505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000003518"	4649.999	4950	5578.001	2666	2631	4230.001	3848.001	3213.001	4608	3292	3534	3957	4941	3066	5329.999	7825	6099.999	7180
"ENSMUSG00000003526"	58	73	100	207.999	168	219	144	202	113	152.999	171	147.999	136	172	137	37.001	30	47
"ENSMUSG00000003527"	314	241	394.999	204.001	270	302	220	275	180	163.001	266	210	168	269	188	348	228	241
"ENSMUSG00000003528"	1522	1469	1542.999	517	469	699	437	571	511	603	670	577	543	572	631	778.999	600	747
"ENSMUSG00000003531"	185	206	261.999	118	103	214	112	115	99	125.999	167	162	147	172	111	47.001	58	75
"ENSMUSG00000003534"	23	18	42	117	68	373	17	49	54	69	34	96	52	8	37	98	111	107
"ENSMUSG00000003541"	840	1036	1136	3449	3234	5393	2912	2975	3842	5666	7330	6267	6992	5061	7284	2579	2004	3711
"ENSMUSG00000003545"	50938	50110	60279.999	102760.999	103081	142487.001	143124	134076	142295	74073	89197	74886	99081	86996.999	105967	19113.001	16322	14045.999
"ENSMUSG00000003546"	611	587	719	613	810	957	591	703	683	723	855	659	644	756	677	363	343	364
"ENSMUSG00000003549"	219.999	205	371	184	233	326.001	231.002	246.001	223	276	280.999	228.001	272.001	239	214.999	248	203.999	311
"ENSMUSG00000003555"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000003559"	209	223	180	325.999	399.999	494.999	345	323.999	324.999	451.001	532	429	368	462	449	193	196	162
"ENSMUSG00000003573"	218	346	324	276	270	453	237	313	313	366	461.999	434	360	340	421	178	197.001	233
"ENSMUSG00000003575"	243	262	346	410	420	416.999	329	403	389	260	480	394	316	431.001	381.999	128	177	144
"ENSMUSG00000003581"	402	402	488	375	416	578	512	431	478	375	485	374	419.001	510	470	445	386	319
"ENSMUSG00000003585"	1572.001	1728	1932	58	88	179	166	173	227	44	41	53	111	150	92	44	29	22
"ENSMUSG00000003604"	236	257	323	192	128	159	167	125	134	116	122	110	122	168	156	210	172	198
"ENSMUSG00000003617"	67	47	122.999	795.999	740.001	1331	772.001	757	809.001	2179	2380.999	1548	2902.999	3490	3668.999	35.999	14	57
"ENSMUSG00000003623"	836	1075	691	410	428	449	352	424.999	370	493	545.999	444	418	629	504	548	466	476
"ENSMUSG00000003644"	3185	3682.999	3694	2552.001	3225	3173.001	2672.001	3299	2549	2748	3743	2587	2492	2921	2737.999	3254.999	3726	3268
"ENSMUSG00000003657"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000003660"	4102.001	4801.999	4183	2779	3394.999	3010	2958	3758.001	3118	3113	4134.001	2824	3281.999	3673.999	3690	3540	3385	3059
"ENSMUSG00000003662"	514.999	600.001	658	296	274	378.999	278	338	237	350	388	310.999	249	329	317.001	323	336	252
"ENSMUSG00000003665"	45	77	106	99	15	148	22	36	29	61	50	130	95	48	104	5	8	0
"ENSMUSG00000003680"	382	369	402.999	163	209.999	255	244	256	228	257	267.001	225	263.001	188	214.001	125	136	140
"ENSMUSG00000003721"	293	321	273	281	280	379	311.001	303.999	343	299.999	341	328	323	320	407	224.999	232	181
"ENSMUSG00000003731"	1585	1794	1552	753	815	817	682	792	659	772	899	576	653	980	790	985	887	718
"ENSMUSG00000003746"	360	395	303	3525	3377	2929	4181	4456.002	3649	4988	5635	4351.001	5094	6248	5667.999	2039.998	1980	1897.999
"ENSMUSG00000003752"	217	121	204	933.999	973.001	1163	1017	975	1108	1323.001	1800	1090	1297	964	1269	435	362	375
"ENSMUSG00000003762"	527	480	607	322	358	529	348	420	370	438	557	487	490.001	455	494	442	332	534
"ENSMUSG00000003778"	699	810	686	770	976	973.002	751	927	816.999	677	797.001	630	593	880	687	919.001	857	668
"ENSMUSG00000003779"	434	455	288	67	88	103	58	123	21	131	96	104	56	220	42	38	45.001	34
"ENSMUSG00000003808"	807	852	1068	488	438.001	621.999	449	481	450.001	479.001	535.999	460.001	428	433	504	695	559	518.999
"ENSMUSG00000003809"	381	348	467	206.001	268	377	302	252	299	329	329.999	282	264	318	255	93	84	141
"ENSMUSG00000003810"	946	1229	1084	1201.001	1269.001	1596	1039	1166	996	1270.001	1448.999	1060	1213.999	1124	1281.999	466	394	361
"ENSMUSG00000003812"	3273	3582	3709.001	1218	1280.999	1751	1673.001	1497.001	1703	1756.001	2130.999	1656.999	2060.001	1619	2274	841.001	657	964.999
"ENSMUSG00000003813"	1237.999	1379	1460.999	726	909	1097	827	871	879	983.001	1029.999	881	997	901	1006	1101	905	1074
"ENSMUSG00000003814"	25862.999	27525	26448	16739	16277	21553.001	16921.999	16752	15435	19271.001	21244	18697.999	16373	18981.999	19126	14605	10740	12476
"ENSMUSG00000003824"	207	183.001	193	94	125	115	121	107.001	128	161	102	132	97	129	108	48	23	64
"ENSMUSG00000003847"	863	1050	1035	3674.999	3680.999	2946.002	3490	3770.001	3762.999	2266	3083.999	2040	2822.001	2523	3833	1846	1607.001	1441.001
"ENSMUSG00000003848"	294.999	387.001	461.999	244	235	384.999	224.001	331.001	223.999	248	248	230	232.999	232.001	195	199	229	168.001
"ENSMUSG00000003849"	22	18	29	37	10	22	9	7	12	16	2	8	4	4	11	2	4	10
"ENSMUSG00000003863"	20	14	12	11	18	34	11	16	12	2	26	11	10	0	15	2	3	4
"ENSMUSG00000003865"	453	589	617	181	210	308	155.999	237	168	269	266	213	225	277	174	122	161	170
"ENSMUSG00000003868"	543	565	590	470	438	608	420	520.001	405.999	404	567	573	511	392.999	523	384	349	423
"ENSMUSG00000003872"	0	1	0	2	1	1	0	1	2	0	1	2	3	0	2	0	0	0
"ENSMUSG00000003873"	1702.001	1655	2131.87	1273	1550.999	2174	1396.788	1541.606	1464	1332	1797	1730.237	1343.094	1042	1486.001	1596	1373	1571
"ENSMUSG00000003882"	85	60	60	886.001	667.999	641	1152	808	903	435	393	465	415	311	456.001	203	102	147
"ENSMUSG00000003923"	400	508	372	165.999	188	260	190	221	167	194	256	159	143	275	199	303.999	215	210
"ENSMUSG00000003929"	74	71	66	104	55	69	61	93	69.999	31	68	50	52	91	53	33	51	22
"ENSMUSG00000003934"	2	0	1	9	4	7	8	3	10	13	10	16	13	8	2	2	12	0
"ENSMUSG00000003948"	1731.532	2248.738	1960.375	773.159	718.425	854.924	759.493	687.083	575.181	864.626	850.457	760.268	726.257	729.24	750.648	405.174	329.604	419.357
"ENSMUSG00000003949"	4	0	17	11	5	40	2	12	3	2	5	9	8	0	9	1	2	16
"ENSMUSG00000003955"	281	475	490	168	145	224	174	167.999	124	180.001	196	203.001	127	160	132	149	71	173
"ENSMUSG00000003970"	12016	12231	14628	10117	10413	15119	11071	9999	11270.999	11045	12876	13052	11406	8984.001	12661.999	16392	13069	22043
"ENSMUSG00000003974"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000003992"	20	17	11	177	190.999	271	194	209	251	226.001	300.001	232.999	227.001	309	268	405.001	317	441.001
"ENSMUSG00000004018"	121	170	199	181	153	168	125	124	129	126.001	168	131	152.001	141	121	166	157	200
"ENSMUSG00000004031"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"ENSMUSG00000004032"	79	69	168	87	74	124	92	99	82	144	91	73	144	137	129	8	5	5
"ENSMUSG00000004035"	2	5	6	8	12	25	5	4	14	0	3	18	15	8	14	5	4	0
"ENSMUSG00000004038"	6.005	10.026	8.029	5	5.012	8.011	0	1	3	1	5	9	1	0	9.012	4.003	0	13.013
"ENSMUSG00000004040"	6315	6881.001	7569.999	7411.999	6915	10836.001	9164.001	6553.999	10468.999	9081.001	9462.999	11339.999	15336	7049.999	16418.999	13613.001	10544.001	12669.999
"ENSMUSG00000004043"	1218.416	1575.989	1425.928	586.245	689.161	650.682	506.12	520.093	520.601	498.846	643.6	504.1	498.991	508.729	560.953	1085.021	1031.066	764.1
"ENSMUSG00000004044"	130	197	385	577	212	2909	119	250	694	393	317	600	347	208	409	137	108	250
"ENSMUSG00000004054"	2828	2906	3484	1497	1629	2163	1435	1780	1545	1623	2276	1595	1588	1712	1556	3206.001	2215	2620
"ENSMUSG00000004056"	3040.001	3189.999	3671	2125.999	2353.999	2926	2401	2397	2598	2636.001	3154	2940.001	3056.999	2902	3114	3571	2997	3610.999
"ENSMUSG00000004069"	738	854	782	262	371.001	340	297	324	241	277	423	270	216	424	271	274	284	188
"ENSMUSG00000004070"	2307.999	2414.001	2210	1313	1356.999	1732.999	1455	1287	1179	1870	2318	1899.999	1534	1974	1783.001	1763.001	1732.001	1729
"ENSMUSG00000004071"	540	589.999	628	861	828	1050.001	804	959.001	879	700	919	695.999	863	833.999	1005	814	550.999	645
"ENSMUSG00000004085"	544	713	614	449	463.999	679	318.001	368.001	406	345	431	423	412	495	412	570.001	511	479
"ENSMUSG00000004096"	1535	1794	1711	1021.001	799	1141	1041	866	847	1197	1335	1022	892.001	1476	1138.001	1689	1248	1560.999
"ENSMUSG00000004098"	2	2	5	49	7	153	18	14	21	4	4	33	8	19	9	1	5	10
"ENSMUSG00000004099"	2129	2618	2053	1307	1439.999	1444	1173	1486	1206	1216	1547	1127.999	1235	1531	1354	1101	1050	806.001
"ENSMUSG00000004100"	453	457.999	588.999	438	428.999	589	453	538	392	431	469.001	419.001	361	252	415	181.999	197	130
"ENSMUSG00000004105"	19	29	40	171	168	352	77	94	126	90	102	164	74	78	55	82	78	87
"ENSMUSG00000004110"	5	4	8	22	13	8	26	26	24	2	10	8	6	10	6	16	26	12
"ENSMUSG00000004113"	12	7	0	61	36	59	27	9	8	13	29	19	10	23	9	4	0	2
"ENSMUSG00000004127"	53	13	52	65	78	97	81	90	71	82.001	66	70	76	77	103	28	29	30
"ENSMUSG00000004151"	9	13	8	270	249.999	222	282.999	265.001	248	644	772	520	547.001	733	635	45	55	68
"ENSMUSG00000004187"	24	46	58.999	92	101.001	164	113	100	105	45.999	67	62	110	52	95	26	42	11
"ENSMUSG00000004207"	106845	109071	117520	103080.999	115834	120477	139237	138271	145192.001	97195	118954.999	99514	113139	98594.001	119354	231583	187283	229853
"ENSMUSG00000004221"	800	991	822.001	562.001	672.999	569	635.001	665	565	683	778.001	569	662	829	749	549	459	475
"ENSMUSG00000004231"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004233"	156	202	156	236	298.001	212	211.001	185	226	164	264	164	176	208	224	119	148	85
"ENSMUSG00000004263"	1071.556	1297	1265	1693	1839.206	2291	1898	2113	1938.78	1513	2053	1469	2215.968	1808	2274.619	753	566	475
"ENSMUSG00000004264"	2366	2431.001	2769.001	1277	1321	1564	1299	1271.001	1176	1392	1618	1416	1191.001	1078	1333.001	1539	1345.999	1670
"ENSMUSG00000004266"	7457	8520.001	8682.999	4219.999	5542	5169.001	4245	4998	3661	4642	5850	4333	3650	5318	3971	10640	10279.001	8631.001
"ENSMUSG00000004267"	0	5	8	80.001	78	174	72.999	56	77	126	86.001	116	187	15	196.999	7	2	1
"ENSMUSG00000004268"	996	915	1124.001	620	813	925	844.001	743	657	716	837	763	780	767	822.999	1026.999	903.999	1169
"ENSMUSG00000004270"	3329.999	3549	3583.001	619.001	728.999	929.999	657	734.001	643	675	896	750	733.999	846	820	846	682.001	765.001
"ENSMUSG00000004285"	2318	2297	3144	1378	1345	2088	1495	1352	1614.999	1489	1831	2020	1919	1601	1903	1792	1441	2362
"ENSMUSG00000004296"	63	51	44	128	141	164	61	71	55	46	16	36	65	6	35	0	4	0
"ENSMUSG00000004317"	686.999	925	760	849	891	748	878	980.999	994.001	1359.999	1807	1180	1396	1598	1652	561	533	476
"ENSMUSG00000004319"	1080	1317.998	1148	764.001	856	699	746.001	919.001	788.999	895	986.999	666	741	1072.999	859.001	1011.999	838	725
"ENSMUSG00000004328"	0	0	0	0	3	1	0	5	0	13	22	5	7	5	0	0	0	2
"ENSMUSG00000004341"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004344"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004347"	0	0	0	7	0	3	0	0	0	5	0	0	0	0	7	0	0	0
"ENSMUSG00000004356"	981	1137	967	785.999	984.001	842	814	1049	969	757	946	693	818	982	964	667	585	601
"ENSMUSG00000004359"	5	3	1	174	155	206	212.001	240	204	292	358	299	771	529	976	57	47	82
"ENSMUSG00000004360"	0	9	0	5	1	3	0	11.14	1	1	1	0	1	0	2	0	1	0
"ENSMUSG00000004364"	1616	1986	1491.999	1709	1451.999	1819.001	1881	1672	1785.999	1771.001	1773.001	1462.001	1700.999	1679	2220	2315	2052.999	1657
"ENSMUSG00000004366"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004371"	0	8	0	0	2	7	2	0	0	2	3	5	1	0	0	8	0	2
"ENSMUSG00000004383"	706	829.999	799	165	138	286.001	205	248	234	167	181	118	183	231.999	228	70	76	74
"ENSMUSG00000004393"	476.999	519	592	337	352	372	345	403	307	355	414.001	363	323	462.001	379	291	222	251
"ENSMUSG00000004394"	1030	1093	1171	615	649	897	563	602	578	840	897	801	766	762	887	649	634	599
"ENSMUSG00000004415"	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004446"	192	191	141	158	237	231	108	178	139	266	334	208	195	197	220.999	495	558	409
"ENSMUSG00000004451"	2199	2394	2308	1404	1423	1877	1516	1710.999	1769	1633	1828.001	1561	1920.001	1758	1845	2954.001	2467	2813
"ENSMUSG00000004455"	3852	4940	4092	1989	1920.001	2292.001	1833	2031	1644.001	2772.001	2973	2262	2717.998	2955	3289.999	2679	2473	2611.001
"ENSMUSG00000004460"	3056	3431	2676	1677	1620	1995.999	1558	1612	1475.001	1930.001	2288	1833	1524	1789	1871	3001	2291	2342
"ENSMUSG00000004462"	377	399.999	311.999	154.001	232.999	230.999	203	187.001	192	238	269	202.001	175	323	233.001	188	136	161
"ENSMUSG00000004473"	11	14	8	21	11	48	4	4	13	15	5	9	14	0	13	0	2	8
"ENSMUSG00000004500"	97.001	82	52	36	53	37	22	49	36	58	53	15	37	64	28	19	50	14
"ENSMUSG00000004508"	4831	5070	4369	2529	2625	2802	3302	3334	3480	2223	2653	2187	2921	2592	3377	2029	1572	1791
"ENSMUSG00000004530"	5849.001	6648	6349	4050.999	4651	4600	4512.999	4837	4651	4862.999	6128	4526	4991	5433	5058	6062	4512	4827
"ENSMUSG00000004535"	4347.001	5127	5065.001	3148	2588.001	3537	3095	2928	3039.001	2990	3044	2886	2782	2595	3344	4621	3701	3991
"ENSMUSG00000004540"	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004542"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004552"	11	2	7	105	127	91	120	155	134	69	118	60	123	92	150	324	265	462
"ENSMUSG00000004558"	5	15	79	115	55.999	398.999	41	57	157	36	46	58	75	42	38	19	25	42
"ENSMUSG00000004561"	286.472	226	336.999	141.999	145	256.999	136	204.001	164.982	139.158	190	151	83	135	107	87.001	128	68
"ENSMUSG00000004562"	1197.999	1109	1049.002	1207.001	1293	1814.998	975.001	1326.001	1102	870.999	992.999	873	744	683	669	56	16	21
"ENSMUSG00000004565"	837	810	848	711.001	726.999	849.999	677	931	712.001	492	790	511.999	599.999	402.999	617.001	408.999	421.999	367.001
"ENSMUSG00000004567"	1999	1895.001	1978.999	1387	1433.999	1887.001	1265	1408.001	1480	1133	1579	1177.999	1211.001	1247	1348	802.001	638	698.001
"ENSMUSG00000004568"	719	897.999	829.999	339	283.001	391	357	361.001	512	244	325	211	430	492	491	2320	1851	1385
"ENSMUSG00000004591"	800	1041.001	636.001	806	776.999	821	836	902	948	923	889.001	810.999	886	986	951	911.001	810	781
"ENSMUSG00000004609"	3962	4749.001	3709.999	10613	10715.001	8605	8970.999	9237	9803	12849	14116.999	10665	11021	11607	12835	2049.001	1599	1319
"ENSMUSG00000004610"	2438	2627.999	3154	615	559	1010.001	608.892	531	527	690	982.244	815	658	576.999	769	901	709	1067
"ENSMUSG00000004612"	57	28	21	54	69	36	90	41	32	41	38	3	56	38	19	103	41	100
"ENSMUSG00000004626"	4644.001	4704	5380	1879.999	1971.001	2425	1894.998	1953.998	1940	1898	2037.999	1792	1649	1803.001	1885.002	3412.999	2725.999	2932.001
"ENSMUSG00000004630"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004631"	16	24	39	96	58	233.001	172.999	168	283	208.001	278	126	557.001	508.001	747	17	8	31
"ENSMUSG00000004633"	29	9	38	441	435	559	258.001	242	232	682	635	601	427	466	477	197	189	214.999
"ENSMUSG00000004637"	347.999	400	365.999	105	88	145.999	130.001	85	135.999	133	198	143	150.999	178	159.999	120	105.001	97
"ENSMUSG00000004642"	1219.999	1061	975	1110	855	1105	1199.001	973	1055	1228.001	1144.001	1022	983.999	1069.001	1192	1554.001	1077.001	1467
"ENSMUSG00000004651"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004654"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004655"	315	445	1131	768	264	4334	168	199	1296	765	430	1603	612	250	650	407	391	545
"ENSMUSG00000004661"	181	201.001	168.999	604.999	697.999	611	730	839.001	882.998	361.001	469	338.001	476	517	449	286	301	257
"ENSMUSG00000004665"	639	598	599	2541	2759	3460	3190	3231	3075	2559	2998	2460	2502	2750	2568	5700	5558	6402
"ENSMUSG00000004667"	944	1008	1066.001	736.001	885	1011	850.999	914	802	864.999	1178	974.999	903.001	798	820.999	1143	927	1218
"ENSMUSG00000004668"	0	0	0	17	11	0	11	5	8	18	4	11	3	0	6	10	15	26
"ENSMUSG00000004677"	6350	6926	6894	5701	6827	6125.001	5789.001	6895	6427.001	4605.999	6609.999	4363	5538.999	4739	5735.001	7189	6193	5398
"ENSMUSG00000004698"	125	172	164	400.999	479.001	432	440	507	500.999	472.999	530.999	423	467.999	494	565	283	268	250
